"rank","doc_index","topic_probability","topic_letter","topic_number"
4,18368,0.589845549812452,"UU",47
5,5062,0.584084243331039,"UU",47
6,20602,0.576392662791581,"UU",47
7,11344,0.569238474317004,"UU",47
8,23823,0.565038507156698,"UU",47
9,14883,0.554343613129846,"UU",47
10,11549,0.547133917913911,"UU",47
11,6510,0.532172181326859,"UU",47
12,9875,0.531498868761748,"UU",47
13,17502,0.520474143399701,"UU",47
14,11334,0.510643118113518,"UU",47
15,18522,0.510392705273632,"UU",47
16,24517,0.509959298472173,"UU",47
17,12448,0.501480950033217,"UU",47
18,18523,0.497419576182464,"UU",47
19,25750,0.494007391211825,"UU",47
20,14055,0.491638399895194,"UU",47
21,14473,0.485995245433912,"UU",47
22,25293,0.485451093269072,"UU",47
23,18993,0.485099224505603,"UU",47
24,11245,0.450924637041077,"UU",47
25,21891,0.449890581964843,"UU",47
26,7168,0.445623073785681,"UU",47
27,4121,0.443750749325266,"UU",47
28,22990,0.443739018064966,"UU",47
29,13392,0.443712211126046,"UU",47
30,11152,0.440030773736665,"UU",47
31,15627,0.435952079864866,"UU",47
32,24108,0.435299571665586,"UU",47
33,20715,0.434592199470616,"UU",47
34,20563,0.433853426811699,"UU",47
35,13529,0.43276149606652,"UU",47
36,23333,0.43053785308345,"UU",47
37,25609,0.4304442274934,"UU",47
38,16484,0.427987714358629,"UU",47
39,23937,0.4273915402643,"UU",47
40,10787,0.427154031515423,"UU",47
41,9877,0.424163060937879,"UU",47
42,23232,0.421976101301401,"UU",47
43,24127,0.410989202874665,"UU",47
44,3567,0.408620370865097,"UU",47
45,12416,0.407475880060374,"UU",47
46,16602,0.405315510241737,"UU",47
47,21712,0.404007987967068,"UU",47
48,15333,0.403187087906308,"UU",47
49,11015,0.400886560072186,"UU",47
50,22793,0.399438473744958,"UU",47
1,13745,0.448541372347465,"WW",49
2,9578,0.357801250510463,"WW",49
3,10043,0.345007090524727,"WW",49
4,7657,0.334388680636882,"WW",49
5,20663,0.327552459190477,"WW",49
6,24418,0.32703640545931,"WW",49
7,17158,0.323812886340008,"WW",49
8,417,0.31610470315751,"WW",49
9,19976,0.31441345793667,"WW",49
10,23571,0.306358349448585,"WW",49
11,14782,0.304265612116484,"WW",49
12,10319,0.302042776277973,"WW",49
13,25746,0.301309848471732,"WW",49
14,11482,0.301183383216618,"WW",49
15,8690,0.299161794372037,"WW",49
16,23329,0.294832310763242,"WW",49
17,12927,0.293187552824468,"WW",49
18,12203,0.291086920640939,"WW",49
19,18192,0.290517844957617,"WW",49
20,4526,0.279326002773352,"WW",49
21,14507,0.277720963350176,"WW",49
22,20094,0.276931545980713,"WW",49
23,7639,0.272784808684495,"WW",49
24,11483,0.269909078225213,"WW",49
25,2576,0.269240038514875,"WW",49
26,24583,0.26699956541215,"WW",49
27,22160,0.263296696022386,"WW",49
28,24504,0.262307285481969,"WW",49
29,4361,0.261240138173477,"WW",49
30,25722,0.260693914416193,"WW",49
31,589,0.259720479496635,"WW",49
32,19757,0.257625107064652,"WW",49
33,21896,0.252973508905411,"WW",49
34,24948,0.252374650364364,"WW",49
35,24249,0.25196460988762,"WW",49
36,24438,0.250144627711001,"WW",49
37,15663,0.248404313993374,"WW",49
38,20152,0.247955538411643,"WW",49
39,9693,0.247776780697655,"WW",49
40,19890,0.247727052517287,"WW",49
41,9980,0.247087471936575,"WW",49
42,14936,0.246559099667275,"WW",49
43,14710,0.244942503995101,"WW",49
44,5239,0.24374839737012,"WW",49
45,12644,0.242552105114529,"WW",49
46,23940,0.242365295123946,"WW",49
47,6279,0.2409411051439,"WW",49
48,1605,0.240442933347805,"WW",49
49,24419,0.238669396752897,"WW",49
50,17373,0.237302817127122,"WW",49
1,20183,0.476125910423255,"XX",50
2,20328,0.462452816771799,"XX",50
3,17166,0.45603987037485,"XX",50
4,3130,0.45398194897148,"XX",50
5,18302,0.447621397068856,"XX",50
6,8666,0.447147959348546,"XX",50
7,8115,0.442431904422518,"XX",50
8,15886,0.440556138616964,"XX",50
9,7444,0.431471948858457,"XX",50
10,1882,0.411269161707496,"XX",50
11,18305,0.406490853505139,"XX",50
12,24139,0.402910858241273,"XX",50
13,12890,0.400070058690056,"XX",50
14,17669,0.397301172563849,"XX",50
15,19845,0.394350789352451,"XX",50
16,5536,0.388934586235332,"XX",50
17,18807,0.386237796736696,"XX",50
18,2657,0.380483096494279,"XX",50
19,3363,0.380460436633611,"XX",50
20,6178,0.378639072489357,"XX",50
21,4510,0.376215911518388,"XX",50
22,22320,0.369729996395928,"XX",50
23,10522,0.368185637082944,"XX",50
24,17745,0.367173464176073,"XX",50
25,8069,0.364263915031163,"XX",50
26,10056,0.362658748057441,"XX",50
27,6165,0.361976420669094,"XX",50
28,20418,0.361408131857052,"XX",50
29,8929,0.356474857464315,"XX",50
30,2279,0.355777703366031,"XX",50
31,22248,0.355655900983741,"XX",50
32,21102,0.352364877585002,"XX",50
33,21418,0.349724153744741,"XX",50
34,21403,0.349428099666203,"XX",50
35,20518,0.347207086045183,"XX",50
36,16076,0.344409076460311,"XX",50
37,18330,0.343054509128261,"XX",50
38,17283,0.341890834333686,"XX",50
39,4975,0.340952378833809,"XX",50
40,18370,0.340833147522268,"XX",50
41,2284,0.33348195112621,"XX",50
42,10528,0.331695441965404,"XX",50
43,6167,0.326158551913115,"XX",50
44,12885,0.325348628369288,"XX",50
45,18333,0.324860828064941,"XX",50
46,6208,0.323167163651435,"XX",50
47,19515,0.322528639663967,"XX",50
48,7432,0.321746751306182,"XX",50
49,18227,0.320560794494575,"XX",50
50,18309,0.320206482050568,"XX",50
1,22851,0.181924295254929,"YY",51
2,23016,0.179634251334242,"YY",51
3,16931,0.151327003273543,"YY",51
4,18236,0.141084194993875,"YY",51
5,22623,0.139193016072044,"YY",51
6,22533,0.138814456004799,"YY",51
7,18562,0.134869539025745,"YY",51
8,9860,0.13098006140244,"YY",51
9,21372,0.129052531481756,"YY",51
10,19941,0.128720907346887,"YY",51
11,24301,0.12632376932012,"YY",51
12,16227,0.125916958186587,"YY",51
13,12239,0.125687596120967,"YY",51
14,22625,0.125405718033686,"YY",51
15,23412,0.125103500651157,"YY",51
16,23162,0.124614046069295,"YY",51
17,12549,0.123300081897714,"YY",51
18,12900,0.123251339723531,"YY",51
19,12462,0.122249431261782,"YY",51
20,23697,0.118320567288803,"YY",51
21,22691,0.117754170322682,"YY",51
22,20974,0.117365587612711,"YY",51
23,15035,0.11550345821464,"YY",51
24,23027,0.115444129664062,"YY",51
25,20713,0.114673426290435,"YY",51
26,13616,0.114623043818801,"YY",51
27,20271,0.11339903085638,"YY",51
28,2200,0.113119469560879,"YY",51
29,13741,0.112529526510805,"YY",51
30,13129,0.112453420600177,"YY",51
31,25183,0.112303978878089,"YY",51
32,4725,0.112184472161276,"YY",51
